#RA DEC ID
83.81268111 -5.39844111 678
83.81317389 -5.37148694 679
83.81329000 -5.37487306 680
83.81333000 -5.38175306 681
83.81306500 -5.38465500 682
83.81318889 -5.39627111 683
83.81339500 -5.33750000 684
83.81374500 -5.34141500 685
83.81363389 -5.36543194 686
83.81338000 -5.37333889 687
83.81361611 -5.38245194 688
83.81341000 -5.38856889 689
83.81360806 -5.39712389 690
83.81369000 -5.41926000 691
83.81347389 -5.46059889 692
83.81389806 -5.22724694 693
83.81399111 -5.31723194 694
83.81386389 -5.35792611 695
83.81395500 -5.37097500 696
83.81393000 -5.37360000 697
83.81413000 -5.37371000 698
83.81411000 -5.39258694 699
83.81445389 -5.29423111 700
83.81427194 -5.32621389 701
83.81435694 -5.34451889 702
83.81420611 -5.34598500 703
83.81420889 -5.35386500 704
83.81455000 -5.35424000 705
83.81455000 -5.38015194 706
83.81437000 -5.39594806 707
83.81443194 -5.41863194 708
83.81428111 -5.43322806 709
83.81452389 -5.45631000 710
83.81418306 -5.46314806 711
83.81422611 -5.50640194 712
83.81466000 -5.32871194 713
83.81494306 -5.37185611 714
83.81477000 -5.37956500 715
83.81468000 -5.39373389 716
83.81483000 -5.42059889 717
83.81459611 -5.58653806 718
83.81532694 -5.29650500 719
83.81520694 -5.30257111 720
83.81513000 -5.32870000 721
83.81501111 -5.35746306 722
83.81517389 -5.38233806 723
83.81534611 -5.39417306 724
83.81508611 -5.40082694 725
83.81528694 -5.41954500 726
83.81533111 -5.42589306 727
83.81507694 -5.57919389 728
83.81580694 -5.32980611 729
83.81570611 -5.36104194 730
83.81574306 -5.38606889 731
83.81557694 -5.38958500 732
83.81571306 -5.39394694 733
83.81570500 -5.40320611 734
83.81576889 -5.40686000 735
83.81551806 -5.44122389 736
83.81542889 -5.47100194 737
83.81618389 -5.34455194 738
83.81601806 -5.35588500 739
83.81619500 -5.37588500 740
83.81601694 -5.37939889 741
83.81618000 -5.38386694 742
83.81590000 -5.38663806 743
83.81596389 -5.38726611 744
83.81602611 -5.38954389 745
83.81605389 -5.39041694 746
83.81609194 -5.40479389 747
83.81607306 -5.41590194 748
83.81623306 -5.48136111 749
83.81602806 -5.50150889 750
83.81590194 -5.55335889 751
83.81652694 -5.24974889 752
83.81658694 -5.28266389 753
83.81659611 -5.36681611 754
83.81645000 -5.37250611 755
83.81629306 -5.39384306 756
83.81651611 -5.39716889 757
83.81658306 -5.43533500 758
83.81687000 -5.32906694 759
83.81698500 -5.34339000 760
83.81669889 -5.35272389 761
83.81670306 -5.36304111 762
83.81668806 -5.36473389 763
83.81702806 -5.38167694 764
83.81701000 -5.38526694 765
83.81684000 -5.39288000 766
83.81672000 -5.39803000 767
83.81696000 -5.39815000 768
83.81706611 -5.40316000 769
83.81683611 -5.43086389 770
83.81695611 -5.45581500 771
83.81728306 -5.26330694 772
83.81749000 -5.35301000 773
83.81717000 -5.37013000 774
83.81748306 -5.37707194 775
83.81732000 -5.38201000 776
83.81727000 -5.38522000 777
83.81716000 -5.38725806 778
83.81712000 -5.38970611 779
83.81756000 -5.31843000 780
83.81784500 -5.35252194 781
83.81750389 -5.35896306 782
83.81783694 -5.36956306 783
83.81764611 -5.37338694 784
83.81780000 -5.38372000 785
83.81788000 -5.38792389 786
83.81770000 -5.38861500 787
83.81753000 -5.41563194 788
83.81774194 -5.47605611 789
83.81782194 -5.51681306 790
83.81753889 -5.53360611 791
